Provider,PotentialFraud,InscClaimAmtReimbursed,DeductibleAmtPaid,AdmitForDays,NoOfMonths_PartACov,NoOfMonths_PartBCov,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,Age,WhetherDead,Gender_2,Race_2,Race_3,Race_5
PRV51016,0,170,0.0,0.0,72,72,2,4,4,3,2,2,5,5,2,3,1,0,0,5270,1770,424.0,0.0,3.0,1.0,0.0,0.0
PRV51017,0,142720,1050.0,0.0,6126,6163,216,294,215,58,159,210,351,386,184,128,47,1711200,198512,1221060,354990,37400.0,5.0,290.0,99.0,1.0,1.0
PRV51021,1,348830,31492.0,167.0,3072,3062,94,145,122,60,103,116,194,196,70,85,27,1255950,149776,692640,197902,18786.0,1.0,148.0,61.0,0.0,0.0
PRV51023,0,65610,8624.0,41.0,432,432,16,21,16,5,10,16,21,30,9,8,5,191530,30364,89120,27700,2639.0,0.0,21.0,11.0,0.0,0.0
PRV51024,0,64050,9702.0,48.0,468,468,15,21,23,5,14,16,30,29,11,14,6,178100,24564,76950,26080,2678.0,0.0,22.0,6.0,0.0,0.0
PRV51025,0,118350,14284.0,104.0,1044,1044,28,47,40,13,28,41,64,62,31,26,6,419650,48060,199140,54060,6445.0,0.0,46.0,20.0,0.0,0.0
PRV51026,0,19840,340.0,0.0,888,912,30,33,30,11,15,39,56,50,17,23,6,301800,35040,137680,51710,5325.0,1.0,40.0,16.0,0.0,0.0
PRV51027,0,29840,0.0,0.0,624,634,23,36,27,9,16,30,41,43,10,13,8,330250,37380,188920,50200,3898.0,1.0,27.0,15.0,1.0,0.0
PRV51029,0,30660,160.0,0.0,1092,1114,32,45,33,9,29,30,62,66,17,28,13,357960,38040,154470,45860,6637.0,1.0,53.0,21.0,0.0,0.0
PRV51030,0,739760,86748.0,461.0,2028,2004,73,111,81,30,65,76,125,138,48,59,13,1274520,172608,427360,113830,12370.0,2.0,100.0,30.0,0.0,0.0
PRV51031,0,359720,30244.0,183.0,2208,2215,90,128,89,19,71,81,130,151,85,54,19,1136390,131332,345580,113450,13532.0,1.0,116.0,33.0,2.0,0.0
PRV51032,0,5420,50.0,0.0,264,276,9,15,10,5,8,11,16,16,4,5,3,188280,25292,32260,9750,1605.0,1.0,13.0,1.0,0.0,0.0
PRV51035,0,32560,1428.0,15.0,360,351,8,18,18,4,11,18,22,24,10,7,8,108160,10680,39960,13180,2235.0,0.0,18.0,8.0,0.0,0.0
PRV51036,0,74880,1410.0,0.0,3298,3179,99,159,109,31,95,132,201,201,95,82,19,1571900,162656,575620,142360,20343.0,0.0,164.0,54.0,0.0,0.0
PRV51037,1,342230,25524.0,128.0,5436,5417,195,271,181,104,155,205,311,363,168,132,29,1811420,292700,977930,260480,32854.0,10.0,261.0,61.0,0.0,0.0
PRV51038,0,265490,31192.0,151.0,1680,1683,70,88,65,27,43,63,109,112,46,46,14,699540,88644,308950,87840,10152.0,1.0,90.0,31.0,0.0,0.0
PRV51040,0,74470,8784.0,104.0,1014,1032,35,54,33,7,25,41,63,66,21,20,11,681080,49428,209240,51760,6162.0,1.0,46.0,15.0,0.0,1.0
PRV51041,0,7410,270.0,0.0,408,408,16,17,7,10,10,15,22,24,7,9,2,46700,8544,77780,20870,2408.0,0.0,20.0,8.0,0.0,0.0
PRV51042,0,48050,310.0,0.0,1704,1680,50,74,58,20,41,56,87,108,33,38,13,680390,69420,339440,97120,10387.0,0.0,78.0,6.0,0.0,1.0
PRV51043,0,4480,0.0,0.0,276,276,8,16,7,3,8,9,18,15,9,5,0,72150,8544,36920,12660,1715.0,0.0,13.0,5.0,0.0,0.0
PRV51044,0,21330,130.0,0.0,708,708,22,34,30,7,19,22,35,50,22,21,4,213680,21660,163460,57120,4104.0,0.0,26.0,12.0,2.0,0.0
PRV51045,0,8390,40.0,0.0,372,372,16,17,15,3,15,13,23,23,6,6,2,118990,16020,61160,16990,2231.0,0.0,19.0,3.0,0.0,0.0
PRV51046,0,109370,8644.0,44.0,444,444,14,21,12,13,15,18,31,35,15,17,3,223660,21360,81950,25580,2760.0,0.0,27.0,9.0,0.0,0.0
PRV51047,0,2530,0.0,0.0,132,132,3,6,4,0,4,4,7,7,3,4,1,45170,7272,18290,7620,781.0,0.0,5.0,1.0,0.0,0.0
PRV51048,0,27700,4352.0,23.0,444,456,22,22,14,5,13,20,32,31,8,19,1,160500,17088,81490,21310,2690.0,0.0,21.0,8.0,0.0,0.0
PRV51049,0,21720,190.0,0.0,828,840,33,45,30,13,34,33,49,44,22,21,7,167820,37700,229400,74130,5057.0,0.0,37.0,14.0,0.0,0.0
PRV51052,1,30800,2346.0,20.0,540,552,15,29,18,6,12,19,27,32,15,13,5,135260,19224,97830,22970,3312.0,0.0,25.0,7.0,0.0,0.0
PRV51053,0,8000,1068.0,6.0,12,12,0,1,1,0,0,1,0,1,0,0,0,8000,1068,90,0,69.0,0.0,0.0,0.0,0.0,0.0
PRV51054,0,15130,140.0,0.0,672,681,21,28,25,2,20,24,29,29,6,7,6,142200,11748,139990,49920,4038.0,0.0,31.0,15.0,0.0,0.0
PRV51055,0,21640,2206.0,13.0,264,264,10,15,8,4,8,13,11,17,7,7,3,113570,9612,29570,11050,1525.0,0.0,12.0,6.0,0.0,0.0
PRV51056,0,14700,2146.0,8.0,264,264,10,13,15,5,6,12,20,18,12,6,5,147610,22428,78330,21150,1702.0,0.0,13.0,5.0,0.0,0.0
PRV51057,0,6830,0.0,0.0,60,60,0,4,1,2,1,0,1,5,0,2,0,60000,2136,15690,4370,393.0,0.0,3.0,0.0,0.0,0.0
PRV51058,0,107030,5540.0,42.0,996,996,31,44,34,9,23,40,62,66,31,26,9,450710,52128,178960,55110,6136.0,0.0,45.0,12.0,0.0,0.0
PRV51059,1,421060,26940.0,197.0,1104,1117,31,62,38,15,29,37,62,66,28,26,10,1149970,83692,210440,37900,7158.0,0.0,71.0,17.0,0.0,0.0
PRV51060,0,43710,5340.0,29.0,480,495,16,25,19,6,16,20,33,30,8,13,4,158940,24564,61470,23640,3021.0,0.0,20.0,9.0,0.0,0.0
PRV51061,0,54940,1328.0,9.0,1736,1740,36,62,58,21,39,67,105,104,48,37,12,588700,75828,478990,122390,11227.0,0.0,99.0,23.0,1.0,0.0
PRV51062,0,153380,3944.0,16.0,4728,4705,175,241,190,68,120,204,295,283,153,101,51,2807780,249912,1039960,297180,29084.0,0.0,262.0,111.0,0.0,0.0
PRV51063,0,51110,160.0,0.0,1764,1788,63,91,68,19,44,65,105,116,38,41,16,628630,51264,447060,101475,10420.0,1.0,89.0,37.0,1.0,0.0
PRV51064,1,360320,38948.0,227.0,3600,3619,110,191,139,39,107,145,221,239,101,92,41,1459470,174132,829960,222520,22245.0,1.0,170.0,65.0,0.0,1.0
PRV51065,0,76570,9722.0,66.0,324,336,12,19,10,1,9,16,20,23,6,5,7,158290,20156,49120,16260,2122.0,0.0,17.0,7.0,0.0,0.0
PRV51066,0,24790,2236.0,6.0,288,288,12,14,7,2,6,7,13,17,7,6,2,120000,10612,27600,13520,1657.0,1.0,16.0,5.0,0.0,0.0
PRV51067,1,334520,13096.0,91.0,672,671,17,37,25,12,14,33,41,43,21,15,3,702320,42720,110760,19830,3972.0,0.0,39.0,13.0,0.0,0.0
PRV51068,0,143260,8984.0,36.0,3120,3108,99,150,101,39,72,105,186,182,78,76,31,736650,107188,497970,149358,18598.0,3.0,155.0,57.0,0.0,0.0
PRV51070,0,125410,10980.0,51.0,1176,1188,29,54,36,17,23,38,70,74,24,16,12,547600,52332,291560,78340,6984.0,0.0,50.0,26.0,0.0,2.0
PRV51071,0,8550,50.0,0.0,276,277,12,14,8,2,9,14,18,21,10,5,4,100700,6408,54700,10580,1657.0,0.0,17.0,5.0,0.0,0.0
PRV51072,0,119170,12178.0,63.0,2532,2523,76,118,94,25,75,74,157,160,73,70,18,896320,134412,434520,127250,15424.0,4.0,122.0,25.0,2.0,0.0
PRV51074,0,41170,5420.0,18.0,468,456,15,23,18,6,13,18,28,34,14,10,1,208600,17588,76900,25850,2870.0,0.0,24.0,6.0,0.0,0.0
PRV51075,0,8550,70.0,0.0,192,192,3,6,4,7,4,10,14,16,3,8,1,41650,3204,49450,12950,1314.0,0.0,13.0,4.0,0.0,0.0
PRV51076,0,10230,50.0,0.0,336,342,13,17,12,8,5,11,22,26,9,11,4,137290,15452,61580,16430,2207.0,1.0,15.0,4.0,2.0,0.0
PRV51077,1,204350,16220.0,111.0,396,395,16,24,20,5,12,21,28,29,16,13,4,301300,34176,82650,25780,2338.0,0.0,20.0,10.0,0.0,0.0
PRV51078,0,78270,8644.0,69.0,276,276,7,14,7,3,8,10,16,16,7,5,4,112870,14952,21910,8530,1639.0,0.0,17.0,4.0,0.0,0.0
PRV51081,0,124080,7168.0,42.0,2352,2351,96,128,104,17,54,87,134,164,57,55,27,949010,84372,518980,153430,14548.0,1.0,104.0,28.0,2.0,3.0
PRV51082,0,5470,70.0,0.0,408,408,14,15,13,2,6,12,29,22,8,7,3,230080,12816,179210,20435,2485.0,0.0,25.0,7.0,0.0,0.0
PRV51083,0,18100,140.0,0.0,1062,1068,37,55,43,13,28,47,65,73,30,23,10,361430,36108,188100,46720,6771.0,0.0,57.0,13.0,0.0,1.0
PRV51084,1,215580,21890.0,133.0,1320,1314,51,65,42,9,29,38,87,82,28,43,14,557700,65080,151580,43630,8007.0,0.0,44.0,22.0,1.0,0.0
PRV51086,0,446170,33168.0,181.0,1668,1664,46,79,66,21,47,63,100,109,34,39,10,966650,85236,323480,113600,10445.0,2.0,98.0,30.0,0.0,0.0
PRV51089,0,230900,18696.0,111.0,2706,2724,77,129,103,33,68,102,152,169,79,65,24,1426550,138620,461810,139630,16309.0,2.0,135.0,46.0,0.0,0.0
PRV51090,0,5830,60.0,0.0,84,84,1,2,2,3,1,2,6,5,3,5,0,5000,1068,19820,5150,505.0,0.0,3.0,1.0,0.0,0.0
PRV51091,0,9270,80.0,0.0,516,519,12,29,14,5,15,24,29,36,12,16,6,327860,31496,106880,27678,3053.0,1.0,22.0,10.0,0.0,1.0
PRV51093,0,13710,2136.0,14.0,108,108,3,4,4,1,4,4,6,8,4,3,1,42200,5340,8100,2940,687.0,0.0,6.0,4.0,0.0,0.0
PRV51096,0,3200,100.0,0.0,60,60,3,4,3,0,1,3,4,3,2,1,0,24000,4272,16860,5020,427.0,0.0,2.0,0.0,0.0,0.0
PRV51097,0,44420,230.0,0.0,1488,1495,47,51,42,18,34,41,90,95,39,24,9,412860,49728,376180,96020,8915.0,0.0,82.0,34.0,0.0,0.0
PRV51098,0,300,0.0,0.0,48,39,0,4,2,1,2,2,4,4,1,3,1,62000,5340,9190,2320,330.0,0.0,2.0,0.0,0.0,0.0
PRV51100,0,78000,5340.0,35.0,60,60,1,4,2,0,1,1,3,4,0,2,0,78690,5340,3710,1180,356.0,1.0,4.0,0.0,0.0,0.0
PRV51101,0,16600,3204.0,13.0,36,36,2,3,3,0,1,1,2,3,2,1,1,27600,5340,520,330,173.0,0.0,0.0,1.0,0.0,0.0
PRV51102,0,148000,12816.0,60.0,144,144,4,8,8,1,3,4,9,11,1,6,2,178000,17088,8870,1840,964.0,0.0,3.0,1.0,0.0,0.0
PRV51103,1,440,60.0,0.0,72,72,3,4,6,0,3,5,6,6,4,6,0,8000,1068,6830,2870,465.0,0.0,3.0,1.0,0.0,0.0
PRV51104,0,1900,110.0,0.0,144,144,7,10,3,0,6,5,9,11,5,4,0,33000,4272,22190,4860,952.0,0.0,10.0,2.0,0.0,0.0
PRV51105,0,6540,0.0,0.0,144,144,6,10,7,3,4,5,11,8,4,3,0,96580,6408,51300,11690,919.0,0.0,6.0,1.0,0.0,0.0
PRV51108,0,156000,19224.0,119.0,228,216,11,13,13,4,11,9,16,17,10,4,5,255950,41504,38840,9080,1377.0,0.0,13.0,5.0,0.0,0.0
PRV51109,0,18000,3204.0,22.0,36,36,2,2,3,0,2,3,3,3,3,3,1,23500,5340,3210,2030,170.0,0.0,0.0,1.0,0.0,0.0
PRV51110,0,27000,5340.0,56.0,60,60,3,4,4,0,1,4,5,5,1,1,0,27280,6408,5940,1370,342.0,0.0,2.0,0.0,0.0,1.0
PRV51111,0,54860,200.0,0.0,1572,1582,49,72,69,27,38,54,101,91,38,36,18,381640,49128,523000,135350,9653.0,0.0,79.0,24.0,1.0,0.0
PRV51112,0,105250,810.0,0.0,3648,3643,114,171,131,42,87,119,223,221,97,99,22,1296930,121276,1064150,261345,21810.0,10.0,185.0,61.0,2.0,0.0
PRV51113,0,46390,550.0,0.0,1560,1572,48,69,54,15,47,36,96,106,40,46,5,383680,46992,412970,101290,9499.0,6.0,75.0,27.0,0.0,0.0
PRV51114,0,76720,560.0,0.0,3132,3144,90,166,101,35,84,107,202,201,76,95,18,1022740,133004,763690,186940,18555.0,6.0,147.0,53.0,0.0,0.0
PRV51115,0,980,20.0,0.0,84,84,3,3,2,1,3,5,6,4,0,2,0,29000,5340,10710,3320,512.0,0.0,6.0,3.0,0.0,0.0
PRV51117,0,1950,0.0,0.0,144,144,3,12,7,5,5,5,11,12,3,5,1,69500,6408,58290,8420,830.0,0.0,6.0,3.0,0.0,0.0
PRV51118,0,136000,14952.0,84.0,192,192,4,12,8,2,7,8,13,13,8,4,2,346160,29564,116100,7205,1082.0,0.0,10.0,5.0,0.0,0.0
PRV51119,1,1080580,96985.0,656.0,1116,1128,47,68,52,21,44,50,75,82,31,27,12,2238420,192744,458190,48105,7159.0,1.0,61.0,18.0,0.0,0.0
PRV51120,0,52000,7476.0,36.0,84,84,4,6,3,2,2,3,6,5,2,1,1,93120,10412,3290,1020,430.0,0.0,4.0,2.0,0.0,0.0
PRV51121,0,81080,6408.0,45.0,84,83,3,2,5,1,1,2,5,7,3,2,0,116250,8544,35490,9680,466.0,1.0,4.0,1.0,0.0,0.0
PRV51122,0,1120,0.0,0.0,84,84,2,3,1,1,2,3,4,3,0,1,0,7040,1068,27030,8210,470.0,0.0,4.0,0.0,0.0,0.0
PRV51123,0,26910,2176.0,7.0,372,372,14,19,12,1,12,14,23,23,4,10,1,102070,18156,146790,37910,2152.0,0.0,15.0,1.0,4.0,1.0
PRV51125,0,131310,13096.0,64.0,576,576,19,28,24,5,11,18,36,35,10,13,10,312980,37380,107250,27710,3419.0,0.0,18.0,0.0,13.0,1.0
PRV51126,1,177000,21360.0,150.0,240,240,12,18,13,1,8,11,15,20,9,4,2,377400,49060,121650,32950,1405.0,0.0,9.0,0.0,5.0,0.0
PRV51128,0,102220,5340.0,37.0,594,588,21,33,24,18,17,22,36,38,21,15,5,485040,40584,100360,31270,3431.0,0.0,31.0,0.0,15.0,2.0
PRV51129,0,22920,480.0,0.0,1122,1128,36,53,37,13,24,37,66,81,24,24,7,426220,42720,244510,56450,7112.0,0.0,50.0,0.0,25.0,0.0
PRV51130,0,4970,0.0,0.0,84,72,2,4,3,1,3,6,2,6,0,3,3,20060,4204,12570,6080,437.0,0.0,2.0,0.0,2.0,0.0
PRV51131,0,1160,70.0,0.0,96,96,3,3,3,1,3,4,7,5,1,2,1,30020,5340,7790,2660,599.0,0.0,4.0,0.0,0.0,0.0
PRV51132,0,5330,1068.0,5.0,72,72,1,3,3,0,0,1,4,4,3,0,0,7000,2136,9070,5540,597.0,0.0,5.0,0.0,0.0,0.0
PRV51134,0,7610,80.0,0.0,180,180,10,9,7,1,5,8,10,9,2,4,0,32470,4272,110310,21950,959.0,0.0,7.0,0.0,2.0,0.0
PRV51135,0,300,0.0,0.0,60,60,0,1,1,4,5,0,1,5,4,0,0,4000,1068,1820,480,341.0,0.0,0.0,0.0,1.0,0.0
PRV51136,0,20000,1068.0,3.0,12,12,0,0,0,0,0,0,1,1,0,0,0,20000,1068,400,220,71.0,0.0,0.0,0.0,0.0,0.0
PRV51137,0,16050,1348.0,8.0,648,659,22,38,18,9,19,24,46,42,24,22,2,235640,33360,104310,32980,3988.0,1.0,38.0,1.0,0.0,2.0
PRV51138,0,13430,1068.0,2.0,300,300,6,17,8,4,6,11,9,20,9,10,2,188640,18156,43480,10950,1898.0,0.0,17.0,0.0,1.0,1.0
PRV51139,0,52580,7516.0,34.0,512,516,15,26,16,7,12,24,33,32,12,8,3,178210,22428,122890,30820,3215.0,0.0,24.0,4.0,3.0,1.0
PRV51140,0,453130,50418.0,330.0,5808,5834,184,295,187,74,158,202,349,359,148,156,51,2577460,319700,1203530,339670,35729.0,0.0,265.0,10.0,31.0,9.0
PRV51141,0,19490,170.0,0.0,804,852,18,36,19,7,18,26,46,43,13,14,5,323100,21360,95650,28930,5321.0,0.0,35.0,6.0,9.0,3.0
PRV51142,0,104570,7536.0,59.0,612,611,17,33,22,6,14,18,33,41,14,7,8,321820,37380,128930,34860,3741.0,0.0,27.0,2.0,1.0,0.0
PRV51143,0,20450,350.0,0.0,912,920,33,45,25,13,19,27,44,44,24,18,4,349820,34176,120800,35970,5592.0,1.0,34.0,1.0,6.0,2.0
PRV51144,0,61220,4492.0,24.0,360,360,11,15,10,8,7,13,18,24,11,9,1,122930,11748,62780,17190,2314.0,1.0,17.0,0.0,1.0,2.0
PRV51145,1,1606350,166748.0,1117.0,2412,2424,103,136,105,41,83,91,149,164,70,71,34,3261530,315072,272860,84840,14859.0,1.0,113.0,10.0,10.0,12.0
PRV51146,1,1680910,171670.0,980.0,4194,4212,140,230,169,63,131,152,250,285,128,116,38,3316080,359870,778590,229330,26250.0,4.0,196.0,11.0,13.0,5.0
PRV51147,0,8860,210.0,0.0,384,380,10,18,12,4,7,12,22,18,8,5,1,124160,12816,77790,20700,2304.0,0.0,12.0,1.0,0.0,3.0
PRV51148,1,488660,36294.0,171.0,3948,3946,111,195,135,59,94,141,227,253,108,103,31,1621790,170688,843930,248200,24441.0,0.0,186.0,23.0,23.0,10.0
PRV51149,1,1120680,123958.0,767.0,1752,1766,65,105,91,19,71,76,111,122,62,54,25,2151060,229240,408460,112720,10693.0,0.0,82.0,3.0,11.0,3.0
PRV51151,0,201300,23298.0,114.0,2772,2796,106,139,105,35,86,116,160,179,70,71,26,1242940,161408,606380,181510,17236.0,1.0,116.0,11.0,38.0,5.0
PRV51152,0,25770,500.0,0.0,972,996,41,46,43,1,31,48,63,56,22,25,13,382460,43788,189080,56540,6117.0,0.0,35.0,0.0,9.0,4.0
PRV51153,0,71490,4902.0,39.0,1032,1044,29,49,33,11,28,48,59,63,30,28,7,622840,51128,143540,41530,6364.0,2.0,45.0,3.0,6.0,6.0
PRV51154,0,45750,790.0,0.0,1932,1932,66,98,57,23,48,76,111,106,57,60,18,550730,65448,336410,93580,12075.0,1.0,95.0,4.0,6.0,7.0
PRV51155,0,26330,160.0,0.0,1380,1373,52,61,36,20,31,46,76,76,31,34,10,532310,48756,197110,50330,8445.0,1.0,63.0,4.0,5.0,4.0
PRV51156,0,140640,1720.0,0.0,6492,6504,189,296,186,79,178,220,361,387,172,172,43,2576860,258012,1274980,363760,40048.0,1.0,309.0,15.0,36.0,10.0
PRV51159,1,797790,70450.0,431.0,6744,6777,230,310,211,92,177,233,389,411,182,173,63,3180110,384992,1225260,327466,42417.0,3.0,303.0,22.0,24.0,16.0
PRV51160,0,872020,96140.0,599.0,1344,1368,53,81,70,28,58,52,86,86,45,43,23,1630980,174308,209630,64620,8428.0,0.0,75.0,4.0,8.0,2.0
PRV51164,0,556980,44548.0,299.0,4668,4679,131,238,152,51,124,174,260,299,118,121,40,2214490,250880,983600,283880,28795.0,0.0,216.0,13.0,22.0,5.0
PRV51165,0,329700,28088.0,197.0,1164,1162,42,53,41,11,30,43,68,70,34,21,14,647350,64240,229360,64470,7402.0,0.0,50.0,5.0,2.0,1.0
PRV51166,0,24870,1068.0,17.0,60,60,1,3,1,1,1,1,5,2,1,3,0,36000,2136,13010,3250,360.0,0.0,2.0,0.0,1.0,0.0
PRV51167,0,51980,410.0,0.0,2266,2262,80,105,74,34,57,81,139,151,54,53,13,862950,89508,351020,111710,14193.0,1.0,117.0,10.0,11.0,4.0
PRV51168,0,80470,9782.0,56.0,1044,1032,38,53,31,11,24,33,58,68,31,31,6,432440,45924,196370,49930,6427.0,1.0,50.0,3.0,9.0,4.0
PRV51169,0,19380,50.0,0.0,924,923,32,44,33,9,20,36,52,53,31,24,10,269270,35108,243630,67240,5788.0,0.0,43.0,3.0,5.0,2.0
PRV51170,1,145820,8544.0,58.0,180,192,8,9,8,1,9,8,14,10,5,8,3,234710,22292,20890,5800,1172.0,0.0,10.0,0.0,2.0,1.0
PRV51171,0,13820,200.0,0.0,696,706,23,39,29,9,19,22,40,42,19,14,7,324870,36836,141910,46970,4329.0,0.0,33.0,4.0,3.0,0.0
PRV51173,1,96290,7676.0,62.0,264,260,6,10,8,2,6,11,18,11,3,8,3,202300,20292,92030,23550,1620.0,0.0,10.0,1.0,1.0,0.0
PRV51175,0,9650,90.0,0.0,492,492,22,27,20,6,11,21,27,35,6,14,5,156800,19224,73720,22880,2955.0,0.0,27.0,1.0,2.0,2.0
PRV51176,0,145980,870.0,0.0,5340,5304,194,263,176,60,138,202,312,341,155,131,52,2117870,214924,1278620,367820,32641.0,2.0,243.0,31.0,38.0,9.0
PRV51178,1,431180,36602.0,305.0,768,776,31,44,32,10,28,27,42,46,21,17,6,853140,90400,179210,49390,4649.0,0.0,31.0,1.0,6.0,0.0
PRV51179,0,5000,0.0,0.0,312,312,12,15,12,2,8,12,15,13,7,10,3,203020,12816,74800,17090,1837.0,0.0,13.0,0.0,3.0,3.0
PRV51180,0,94240,2416.0,5.0,1548,1536,46,78,57,12,42,51,83,93,52,44,11,405750,61944,298540,80150,9602.0,0.0,65.0,2.0,7.0,2.0
PRV51181,0,2150,0.0,0.0,120,120,4,6,4,2,4,4,8,8,1,4,2,112940,8544,17530,7740,779.0,1.0,6.0,0.0,2.0,0.0
PRV51183,0,355790,42790.0,232.0,1356,1344,36,65,52,15,39,55,81,85,38,37,17,980580,99324,255550,69140,8332.0,1.0,64.0,2.0,8.0,3.0
PRV51185,0,1590,0.0,0.0,96,96,2,4,3,1,1,3,6,4,2,4,1,14440,3204,11850,6850,588.0,0.0,3.0,0.0,1.0,0.0
PRV51186,0,100,0.0,0.0,24,24,1,0,1,0,0,1,1,1,0,1,0,0,0,280,90,149.0,0.0,2.0,0.0,0.0,0.0
PRV51189,0,8740,240.0,0.0,671,672,14,33,18,8,11,24,35,31,20,12,5,243180,19224,90770,26350,4123.0,0.0,34.0,4.0,2.0,3.0
PRV51190,0,39310,3534.0,14.0,792,792,32,42,26,14,24,36,41,50,21,27,4,194900,20792,130760,43050,4878.0,0.0,37.0,2.0,2.0,3.0
PRV51191,0,10990,90.0,0.0,384,384,11,13,11,4,6,11,19,22,13,5,2,106260,13884,87600,27620,2290.0,0.0,11.0,0.0,4.0,0.0
PRV51194,0,18540,2136.0,8.0,108,108,4,4,2,1,3,4,6,4,2,2,0,32040,4272,10220,3740,655.0,0.0,6.0,0.0,1.0,0.0
PRV51196,0,197060,1750.0,0.0,8628,8633,244,384,252,106,205,289,501,544,202,235,64,2642620,328188,1570910,477240,54157.0,3.0,412.0,11.0,41.0,23.0
PRV51198,0,360,30.0,0.0,72,72,0,1,0,1,1,2,4,1,0,1,0,14170,2136,3770,3760,479.0,0.0,0.0,0.0,4.0,0.0
PRV51200,0,4420,0.0,0.0,228,228,7,13,2,3,5,8,14,17,11,5,1,50400,6708,30000,10150,1348.0,0.0,15.0,0.0,0.0,0.0
PRV51201,0,10660,50.0,0.0,540,539,17,28,20,5,14,15,32,34,16,12,3,316540,39768,116720,31570,3331.0,0.0,24.0,0.0,0.0,4.0
PRV51202,0,5010,0.0,0.0,144,144,7,8,4,1,1,3,9,10,3,4,0,60030,3204,87590,23880,849.0,0.0,7.0,1.0,2.0,0.0
PRV51203,0,15340,80.0,0.0,252,252,8,12,6,6,3,7,14,15,5,7,3,85800,6408,66670,20010,1405.0,0.0,13.0,0.0,0.0,0.0
PRV51204,0,155180,600.0,0.0,5952,5974,177,269,181,74,131,195,324,362,165,151,48,2409350,277328,1217280,344240,36625.0,5.0,284.0,8.0,22.0,14.0
PRV51205,0,4660,70.0,0.0,120,120,3,4,5,3,4,3,6,6,5,4,0,40000,4272,30350,10510,753.0,0.0,5.0,1.0,0.0,0.0
PRV51206,0,1560,0.0,0.0,120,120,3,7,5,1,3,6,7,6,5,4,0,139620,5340,18570,4390,751.0,0.0,4.0,0.0,0.0,1.0
PRV51207,0,51000,3204.0,45.0,36,36,2,2,1,1,1,1,1,2,1,0,1,142480,7476,1750,90,210.0,0.0,1.0,0.0,1.0,0.0
PRV51209,0,9910,170.0,0.0,504,492,15,27,12,4,16,20,25,29,18,14,6,137950,24564,92950,26290,3114.0,0.0,23.0,0.0,1.0,1.0
PRV51210,0,2890,0.0,0.0,108,108,4,4,2,2,2,3,7,5,2,0,0,12160,3204,19890,3840,730.0,0.0,5.0,1.0,0.0,0.0
